Security Id,Security Name
20MICRONS,20 MICRONS LTD.
360ONE,360 ONE WAM LTD
3IINFOTECH,3I INFOTECH LTD.
3MINDIA,3M INDIA LTD.
3PLAND,3P Land Holdings Ltd
5PAISA,5paisa Capital Ltd
63MOONS,63 Moons Technologies Ltd
7NR,7NR Retail Ltd
7SEASL,7Seas Entertainment Ltd
AAL,A-1 Acid Ltd
AFEL,A.F. Enterprises Ltd
AKSPINTEX,A.K. Spintex Ltd
AKCAPIT,A.K.CAPITAL SERVICES LTD.
A2ZINFRA,A2Z Infra Engineering Limited
AAPLUSTRAD,AA Plus Tradelink Ltd
AAATECH,AAA Technologies Ltd
AADIIND,AADI INDUSTRIES LTD.
AANANDALAK,Aananda Lakshmi Spinning Mills Ltd
AANCHALISP,Aanchal Ispat Ltd
AARSHYAM,Aar Shyam India Investment Company Ltd
AREYDRG,AAREY DRUGS & PHARMACEUTICALS LTD.
AARNAV,Aarnav Fashions Ltd
AARTECH,Aartech Solonics Ltd
AARTIDRUGS,AARTI DRUGS LTD.
AARTIIND,AARTI INDUSTRIES LTD.
AARTIPHARM,Aarti Pharmalabs Ltd
AARTISURF,Aarti Surfactants Ltd
AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.
AASHKA,Aashka Hospitals Ltd
AASTAFIN,Aastamangalam Finance Ltd
AAVAS,AAVAS Financiers Ltd
AAYUSH,Aayush Food and Herbs Ltd
ABAN,ABAN OFFSHORE LTD.
ABANSENT,Abans Enterprises Ltd
AHL,Abans Holdings Ltd
ABATEAS,Abate As Industries Ltd
ABB,ABB India Limited
ABBOTINDIA,ABBOTT INDIA LTD.
ABCGAS,ABC GAS (INTERNATIONAL) LTD.
ABCINDQ,ABC INDIA LTD.-$
ABHIJIT,Abhijit Trading Company Ltd
ABHICAP,ABHINAV CAPITAL SERVICES LTD.
ALFL,Abhinav Leasing & Finance Ltd
ABHIFIN,Abhishek Finlease Ltd
ABHIINFRA,Abhishek Infraventures Ltd
ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.
ABMKNO,ABM KNOWLEDGEWARE LTD.
ACC,ACC LTD.
ACCEDERE,Accedere Ltd
ACCEL,Accel Ltd
ACCELERATE,Acceleratebs India Ltd
ACCELYA,Accelya Solutions India Ltd
ACEEDU,ACE Edutrend Ltd
ACEENGITEC,Ace Engitech Ltd
ACEMEN,Ace Men Engg Works Ltd
ACESOFT,ACE SOFTWARE EXPORTS LTD.-$
ACHYUT,Achyut Healthcare Ltd
ACIIN,ACI INFOCOM LTD.
ACKNIT,ACKNIT INDUSTRIES LTD.
ACME,Acme Resources Ltd
ACROW,ACROW INDIA LTD.
ACE,ACTION CONSTRUCTION EQUIPMENT LTD.
ACTIVE,Active Clothing Co Ltd
ADMANUM,AD-MANUM FINANCE LTD.
ADANIENSOL,Adani Energy Solutions Ltd
ADANIENT,ADANI ENTERPRISES LTD.
ADANIGREEN,Adani Green Energy Ltd
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.
ADANIPOWER,ADANI POWER LTD.
ATGL,Adani Total Gas Ltd
AWL,Adani Wilmar Ltd
ADARSH,Adarsh Mercantile Ltd
ADARSHPL,ADARSH PLANT PROTECT LTD.
ADCINDIA,ADC India Communications Limited-$
ADCON,Adcon Capital Services Ltd
ASRL,Add-Shop ERetail Ltd
ADDIND,ADDI INDUSTRIES LTD.-$
ADESHWAR,Adeshwar Meditex Ltd
ADFFOODS,ADF FOODS LTD.-$
ADHBHUTIN,Adhbhut Infrastructure Ltd
ADHIRAJ,Adhiraj Distributors Ltd
ADIEXRE,ADINATH EXIM RESOURCES LTD.
ADINATH,ADINATH TEXTILES LTD.
ADISHAKTI,Adishakti Loha and Ispat Ltd
ABCAPITAL,Aditya Birla Capital Ltd
ABFRL,Aditya Birla Fashion and Retail Ltd
BIRLAMONEY,ADITYA BIRLA MONEY LTD.-$
ABSLAMC,Aditya Birla Sun Life AMC Ltd
MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
BSLNIFTY,Aditya Birla Sun Life Nifty 50 ETF
ABSLBANETF,Aditya Birla Sun Life Nifty Bank ETF
HEALTHY,Aditya Birla Sun Life Nifty Healthcare ETF
ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF
BSLSENETFG,Aditya Birla Sun Life S&P BSE Sensex ETF
TECH,Aditya Birla Sunlife Nifty IT ETF
ACML,Aditya Consumer Marketing Ltd
ADITYA,ADITYA ISPAT LTD.
ADITYASP,ADITYA SPINNERS LTD.
AVL,Aditya Vision Ltd
ADLINE,Adline Chem Lab Ltd
ADORFO,ADOR FONTECH LTD.-$
ADORMUL,ADOR MULTIPRODUCTS LTD.
ADORWELD,ADOR WELDING LTD.
ADROITINFO,Adroit Infotech Ltd
ADVAIT,Advait Infratech Ltd
ADVLIFE,ADVANCE LIFESTYLES LTD.
AMTL,ADVANCE METERING TECHNOLOGY LTD.
ADVPETR-B,ADVANCE PETROCHEMICALS LTD.
ASYL,Advance Syntex Ltd
ADVENZYMES,Advanced Enzyme Technologies Ltd
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.
ADVIKCA,Advik Capital Ltd
ADVIKLA,ADVIK LABORATORIES LTD.
AEGISLOG,AEGIS LOGISTICS LTD.
AEROFLEX,Aeroflex Industries Ltd
AERPACE,Aerpace Industries Ltd
AETHER,Aether Industries Ltd
AFFLE,Affle (India) Ltd
AFFORDABLE,Affordable Robotic & Automation Ltd
AGARWAL,Agarwal Fortune India Ltd
AGARIND,AGARWAL INDUSTRIAL CORPORATION LTD.
AGI,Agi Greenpac Ltd
AGIIL,AGI Infra Ltd
AGIOPAPER,AGIO PAPER & INDUSTRIES LTD.-$
AGRITECH,Agri- Tech (India) Ltd
ATFL,AGRO TECH FOODS LTD.
AGSTRA,AGS Transact Technologies Ltd
AHASOLAR,Ahasolar Technologies Ltd
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.
AHMDSTE,AHMEDABAD STEELCRAFT LTD.
AICHAMP,AI CHAMPDANY INDUSTRIES LTD.
AIAENG,AIA ENGINEERING LTD.
AIMCOPEST,AIMCO PESTICIDES LTD.
AIRAN,Airan Ltd
AISHWARYA,Aishwarya Technologies And Telecom Ltd
AJANTPHARM,AJANTA PHARMA LTD.
AJANTSOY,AJANTA SOYA LTD.
AJCON,AJCON GLOBAL SERVICES LTD.
AJEL,AJEL LTD.
AJMERA,AJMERA REALTY & INFRA INDIA LTD.
AJWAFUN,AJWA FUN WORLD & RESORT LTD.
AAIL,Akar Auto Industries Ltd
AKI,AKI India Ltd
AKM,AKM Creations Ltd
AKSHOPTFBR,AKSH OPTIFIBRE LTD.
AKSHAR,Akshar Spintex Ltd
AKSCHEM,AKSHARCHEM (INDIA) LTD.-$
AKZOINDIA,Akzo Nobel India Limited
ALSL,Alacrity Securities Ltd
ALAN SCOTT,Alan Scott Industries Ltd
ALANKIT,Alankit Ltd
ALBERTDA,ALBERT DAVID LTD.-$
ALCHCORP,ALCHEMIST CORPORATION LTD.
ALEMBICLTD,ALEMBIC LTD.
APLLTD,ALEMBIC PHARMACEUTICALS LTD.
ALEXANDER,Alexander Stamps And Coin Ltd
ALFAICA,ALFA ICA (INDIA) LTD.
ALFATRAN,ALFA TRANSFORMERS LTD.
ALFAVIO,ALFAVISION OVERSEAS (INDIA) LTD.
ALFREDHE,ALFRED HERBERT (INDIA) LTD.
AQFINTECH,Algoquant Fintech Ltd
ALICON,Alicon Castalloy Limited
ALKALI,ALKALI METALS LTD.
ALKEM,Alkem Laboratories Ltd
ALKOSIGN,Alkosign Ltd
ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$
ALLCARGO,ALLCARGO LOGISTICS LTD.
ATL,Allcargo Terminals Ltd
AIML,ALLIANCE INTEGRATED METALIKS LTD.
ADSL,ALLIED DIGITAL SERVICES LTD.
ALLSEC,ALLSEC TECHNOLOGIES LTD.
ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.
ALNATRD,ALNA TRADING & EXPORTS LTD.
ALOKTEXT,ALOK INDUSTRIES LTD.
ALPA,ALPA LABORATORIES LTD.
ALPHAGEO,ALPHAGEO (INDIA) LTD.-$
ALPHAIND,Alphalogic Industries Ltd
ALPHALOGIC,Alphalogic Techsys Ltd
ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.
ALPSINDUS,ALPS INDUSTRIES LTD.
ALSTONE,Alstone Textiles (India) Ltd
ALUFLUOR,ALUFLUORIDE LTD.
AMAL,AMAL LTD.
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.
AMANAYA,Amanaya Ventures Ltd
ARE&M,Amara Raja Energy & Mobility Ltd
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.
AMARSEC,Amarnath Securities Ltd
AEL,Amba Enterprises Ltd
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.
AMBARPIL,Ambar Protein Industries Ltd
AIHL,Ambassador Intra Holdings Ltd
AMBER,Amber Enterprises India Ltd
AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD.
AMBIKCO,AMBIKA COTTON MILLS LTD.
AMBITION,Ambition Mica Ltd
AMBIT,AMBITIOUS PLASTOMAC COMPANY LTD.
AMBOAGRI,Ambo Agritec Ltd
AMBUJACEM,AMBUJA CEMENTS LTD.
AMCOIND,AMCO INDIA LTD.-$
AMDIND,AMD INDUSTRIES LTD.
AMERISE,Amerise Biosciences Ltd
AMFORG,AMFORGE INDUSTRIES LTD.
AMIORG,Ami Organics Ltd
AMINTAN,Amin Tannery Ltd
AMNPLST,AMINES & PLASTICIZERS LTD.
AMITINT,AMIT INTERNATIONAL LTD.
AMJLAND,AMJ Land Holdings Ltd
ACFSL,Amrapali Capital and Finance Services Ltd
AMRAFIN,Amrapali Fincap Ltd
AMRAPLIN,AMRAPALI INDUSTRIES LTD.
AMRAAGRI,AMRAWORLD AGRICO LTD.
AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$
AMS,AMS Polymers Ltd
ANANDPROJ,Anand Projects Ltd
ANANDRATHI,Anand Rathi Wealth Ltd
ARL,Anand Rayons Ltd
ANANTRAJ,Anant Raj Limited-$
ACL,ANDHRA CEMENTS LTD.
ANDHRAPAP,Andhra Paper Ltd
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
ANDHRSUGAR,ANDHRA SUGARS LTD.
ANDREWYU,ANDREW YULE & COMPANY LTD.
ANERI,Aneri Fincap Ltd
ANG,ANG Lifesciences India Ltd
ANGEL,Angel Fibers Ltd
ANGELONE,Angel One Ltd
ANIKINDS,ANIK INDUSTRIES LTD.
ANJANIFIN,ANJANI FINANCE LTD.
ANJANIFOODS,Anjani Foods Ltd
APCL,ANJANI PORTLAND CEMENT LTD.-$
ANJANI,ANJANI SYNTHETICS LTD.-$
ANKIN,ANKA INDIA LTD.
ANKITMETAL,ANKIT METAL & POWER LTD.
ANMOL,Anmol India Ltd
ANNAINFRA,ANNA INFRASTRUCTURES LTD.
ANSINDUS,ANS Industries Ltd
ANSALBU,ANSAL BUILDWELL LTD.-$
ANSALHSG,Ansal Housing Ltd-$
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
ANSHNCO,ANSHUNI COMMERCIALS LTD.
ANTARIKSH,Antariksh Industries Ltd
AWHCL,Antony Waste Handling Cell Ltd
ANUHPHR,ANUH PHARMA LTD.
