Security Id,pdf1,pdf2,pdf3,pdf4
20MICRONS,"['https://www.bseindia.com/xml-data/corpfiling/AttachHis/7682a026-c6c0-46c3-b08a-a734257e49cb.pdf', 2024, 2]",,,
360ONE,"['https://www.bseindia.com/xml-data/corpfiling/AttachHis/edf37d15-c2a5-43f4-be29-974c680c05bc.pdf', 2024, 2]","['https://www.bseindia.com/xml-data/corpfiling/AttachHis/b0530ba9-4e81-4537-8b78-e7e64ece35d2.pdf', 2024, 1]","['https://www.bseindia.com/xml-data/corpfiling/AttachHis/eadb40cc-918e-4b5d-80ea-12372c47a258.pdf', 2023, 4]","['https://www.bseindia.com/xml-data/corpfiling/AttachHis/55860d29-6e97-4734-b91e-71482f274382.pdf', 2023, 3]"
3IINFOTECH,"['https://www.3i-infotech.com/wp-content/uploads/2023/11/Transcript-Q2FY24-Earnings-Call-3i-Infotech-Ltd.pdf', 2024, 2]","['https://www.3i-infotech.com/wp-content/uploads/2023/08/Transcript-Q1FY24-Earnings-Call-3i-Infotech.pdf', 2024, 1]",,
3MINDIA,,,,
3PLAND,,,,
5PAISA,,,,
63MOONS,,,,
7NR,,,,
7SEASL,,,,
AAL,,,,
AFEL,,,,
AKSPINTEX,,,,
AKCAPIT,,,,
A2ZINFRA,,,,
AAPLUSTRAD,,,,
AAATECH,,,,
AADIIND,,,,
AANANDALAK,,,,
AANCHALISP,,,,
AARSHYAM,,,,
AREYDRG,,,,
AARNAV,,,,
AARTECH,,,,
AARTIDRUGS,,,,
AARTIIND,,,,
AARTIPHARM,,,,
AARTISURF,,,,
AARVEEDEN,,,,
AASHKA,,,,
AASTAFIN,,,,
AAVAS,,,,
AAYUSH,,,,
ABAN,,,,
ABANSENT,,,,
AHL,,,,
ABATEAS,,,,
ABB,,,,
ABBOTINDIA,,,,
ABCGAS,,,,
ABCINDQ,,,,
ABHIJIT,,,,
ABHICAP,,,,
ALFL,,,,
ABHIFIN,,,,
ABHIINFRA,,,,
ABIRAFN,,,,
ABMKNO,,,,
ACC,,,,
ACCEDERE,,,,
ACCEL,,,,
ACCELERATE,,,,
ACCELYA,,,,
ACEEDU,,,,
ACEENGITEC,,,,
ACEMEN,,,,
ACESOFT,,,,
ACHYUT,,,,
ACIIN,,,,
ACKNIT,,,,
ACME,,,,
ACROW,,,,
ACE,,,,
ACTIVE,,,,
ADMANUM,,,,
ADANIENSOL,,,,
ADANIENT,,,,
ADANIGREEN,,,,
ADANIPORTS,,,,
ADANIPOWER,,,,
ATGL,,,,
AWL,,,,
ADARSH,,,,
ADARSHPL,,,,
ADCINDIA,,,,
ADCON,,,,
ASRL,,,,
ADDIND,,,,
ADESHWAR,,,,
ADFFOODS,,,,
ADHBHUTIN,,,,
ADHIRAJ,,,,
ADIEXRE,,,,
ADINATH,,,,
ADISHAKTI,,,,
ABCAPITAL,,,,
ABFRL,,,,
BIRLAMONEY,,,,
ABSLAMC,,,,
MOMENTUM,,,,
NIFTYQLITY,,,,
BSLNIFTY,,,,
ABSLBANETF,,,,
HEALTHY,,,,
ABSLNN50ET,,,,
BSLSENETFG,,,,
TECH,,,,
ACML,,,,
ADITYA,,,,
ADITYASP,,,,
AVL,,,,
ADLINE,,,,
